ID,Type,Epic,Title,Description,Acceptance Criteria,Priority,Story Points,Sprint,Labels,Linear Priority,Status,Project
E0-1,Story,E0 Plattform-Fundament,Mandanten anlegen und Tenant-Isolation,"Als Betreiber möchte ich Mandanten (tenants) anlegen, damit Daten isoliert sind.","- tenant_id in allen Tabellen
- API lehnt Cross-Tenant-Zugriff ab (403)",P0,5,1,"backend,platform,database",Urgent,Backlog,E0 Plattform-Fundament
E0-2,Story,E0 Plattform-Fundament,SSO/OIDC Login,Als User möchte ich mich per Sunrise-SSO anmelden.,"- OIDC-Flow implementiert
- Session/JWT mit Refresh
- Logout funktioniert",P0,8,1,"backend,auth,security",Urgent,Backlog,E0 Plattform-Fundament
E0-3,Story,E0 Plattform-Fundament,RBAC pro API-Request,Als System soll jede API-Anfrage eine Rolle kennen.,"- Rollen: end_user, tenant_admin, platform_admin
- Middleware prüft Rolle pro Endpoint",P0,5,1,"backend,auth,security",Urgent,Backlog,E0 Plattform-Fundament
E0-4,Story,E0 Plattform-Fundament,OpenAPI 3.1 Spec + CI-Validierung,Als Entwickler möchte ich eine OpenAPI-Spec für parallele Entwicklung.,"- OpenAPI 3.1 im Repo
- CI bricht bei Breaking Changes",P0,3,1,"backend,api,dx",Urgent,Backlog,E0 Plattform-Fundament
E0-5,Story,E0 Plattform-Fundament,Health-Checks und strukturiertes Logging,Als Betreiber möchte ich Health-Checks und strukturierte Logs.,"- /health/live und /health/ready
- Correlation-ID pro Request",P1,3,1,"backend,devops,observability",High,Backlog,E0 Plattform-Fundament
E0-6,Story,E0 Plattform-Fundament,Audit-Log für Konfigurationsänderungen,Als Auditor möchte ich Konfigurationsänderungen nachvollziehen.,"- audit_log: wer, was, wann, tenant, before/after JSON
- Alle Schreiboperationen im MVP erfasst",P0,5,1,"backend,security,compliance",Urgent,Backlog,E0 Plattform-Fundament
E0-T1,Task,E0 Plattform-Fundament,PostgreSQL HA + Redis Setup,Technische Grundlage: PostgreSQL HA und Redis für Sessions/Queue.,"- Managed PostgreSQL mit Replikation
- Redis für Sessions und Job-Queue
- Migrations mit Flyway/Liquibase",P0,8,1,"devops,database,infrastructure",Urgent,Backlog,E0 Plattform-Fundament
E0-T2,Task,E0 Plattform-Fundament,CI/CD Pipeline,"Build, Test und Deploy Pipeline für API und Frontend.","- PR-Checks (Lint, Test, OpenAPI)
- Deploy auf Staging bei Merge main",P0,5,1,"devops,ci",Urgent,Backlog,E0 Plattform-Fundament
E1-1,Story,E1 Identität & Profil,GET /me — Profil anzeigen,"Als Endnutzer möchte ich nach Login mein Profil sehen (Name, Durchwahl, DID, Sprache).","- GET /api/v1/me liefert DB-Daten
- UI entspricht Prototyp Übersicht",P0,3,2,"backend,frontend,user-portal",Urgent,Backlog,E1 Identität & Profil
E1-2,Story,E1 Identität & Profil,Portalsprache wählen (DE/FR/IT/EN),Als Endnutzer möchte ich die Portalsprache wählen.,"- Sprache im Profil gespeichert
- Bestehende i18n-Keys aus Prototyp",P0,3,2,"frontend,user-portal,i18n",Urgent,Backlog,E1 Identität & Profil
E1-3,Story,E1 Identität & Profil,SIP-/Präsenzstatus anzeigen (read-only),Als Endnutzer möchte ich meinen SIP-Status sehen (online/offline).,"- Status aus PBX-Registrierung
- Fallback unbekannt wenn nicht verfügbar",P1,3,2,"backend,frontend,integration",High,Backlog,E1 Identität & Profil
E1-4,Story,E1 Identität & Profil,Onboarding serverseitig,Als Endnutzer möchte ich Onboarding nur beim ersten Besuch sehen.,"- onboarding_completed_at in users
- Nicht nur localStorage",P2,2,6,"frontend,user-portal",Medium,Backlog,E1 Identität & Profil
E2-1,Story,E2 Anrufprotokoll (CDR),Eigene Anrufliste im Benutzerportal,Als Endnutzer möchte ich meine letzten Anrufe sehen (Ein/Aus/Verpasst).,"- Paginierte Liste
- Filter nach Richtung
- Felder wie Prototyp up-calls",P0,5,3,"frontend,backend,user-portal,cdr",Urgent,Backlog,E2 Anrufprotokoll (CDR)
E2-2,Story,E2 Anrufprotokoll (CDR),Letzte 5 Anrufe auf Übersicht,Als Endnutzer möchte ich auf der Übersicht die 5 letzten Anrufe sehen.,"- GET /api/v1/me/cdr?limit=5
- Widget auf up-overview",P0,2,3,"frontend,user-portal,cdr",Urgent,Backlog,E2 Anrufprotokoll (CDR)
E2-3,Story,E2 Anrufprotokoll (CDR),Tenant-Admin CDR-Suche,Als Tenant-Admin möchte ich CDR des Mandanten durchsuchen.,"- Filter Zeitraum und User
- Read-only, CSV-Export
- Keine Aufnahmen im MVP",P1,5,3,"frontend,backend,tenant-admin,cdr",High,Backlog,E2 Anrufprotokoll (CDR)
E2-4,Story,E2 Anrufprotokoll (CDR),CDR-Import aus PBX,Als System möchte ich CDR aus der PBX importieren.,"- Batch-Job alle 5 Min oder Event-Stream
- cdr_records Tabelle mit Partitionierung",P0,8,3,"backend,integration,cdr",Urgent,Backlog,E2 Anrufprotokoll (CDR)
E3-1,Story,E3 Rufweiterleitung,Weiterleitungsregeln lesen,Als Endnutzer möchte ich meine Weiterleitungsregeln lesen.,"- 4 Regeltypen: always, busy, no_answer, hours
- Ziel: Nummer, Durchwahl oder Voicemail",P0,3,4,"backend,frontend,user-portal,forwarding",Urgent,Backlog,E3 Rufweiterleitung
E3-2,Story,E3 Rufweiterleitung,Weiterleitungsregeln speichern,Als Endnutzer möchte ich Regeln aktivieren/deaktivieren und Ziele ändern.,"- Validierung
- Immer überschreibt andere Regeln
- Speichern startet async Provision-Job",P0,5,4,"backend,frontend,user-portal,forwarding",Urgent,Backlog,E3 Rufweiterleitung
E3-3,Story,E3 Rufweiterleitung,Provisionierungsstatus in UI,Als Endnutzer möchte ich den Provisionierungsstatus sehen.,"- UI zeigt pending / applied / failed
- Kein showToast als Erfolgs-Feedback",P0,3,4,"frontend,user-portal,forwarding",Urgent,Backlog,E3 Rufweiterleitung
E3-4,Story,E3 Rufweiterleitung,Keine-Antwort mit Klingelzeit,Als Endnutzer möchte ich Keine-Antwort mit Klingelzeit (5–60 s) setzen.,"- ring_timeout_sec validiert 5–60
- Wie Prototyp up-forwarding",P0,2,4,"frontend,backend,forwarding",Urgent,Backlog,E3 Rufweiterleitung
E3-5,Story,E3 Rufweiterleitung,Ausserhalb Bürozeiten mit Zeitplan,Als Endnutzer möchte ich Ausserhalb Bürozeiten mit Zeitplan verknüpfen.,"- 2 vordefinierte Pläne im MVP
- Kein Custom-Schedule-Editor",P1,3,4,"backend,forwarding",High,Backlog,E3 Rufweiterleitung
E3-6,Story,E3 Rufweiterleitung,PBX applyForwardRules,Als System soll die PBX Weiterleitungen anwenden.,"- Provisioning-Adapter applyForwardRules
- Retry 3x, Fehler in UI + Audit-Log",P0,8,4,"backend,integration,forwarding",Urgent,Backlog,E3 Rufweiterleitung
E4-1,Story,E4 Voicemail,Voicemail-Nachrichten auflisten,Als Endnutzer möchte ich Voicemail-Nachrichten auflisten.,"- Absender, Datum, Dauer, gelesen/ungelesen
- Paginiert",P0,3,5,"frontend,backend,user-portal,voicemail",Urgent,Backlog,E4 Voicemail
E4-2,Story,E4 Voicemail,Voicemail gelesen/löschen,Als Endnutzer möchte ich Nachrichten als gelesen markieren oder löschen.,"- PATCH /api/v1/me/voicemails/{id}
- Soft-delete, PBX-Sync wenn API vorhanden",P1,3,5,"backend,user-portal,voicemail",High,Backlog,E4 Voicemail
E4-3,Story,E4 Voicemail,Voicemail als Weiterleitungsziel,Als Endnutzer möchte ich Voicemail als Weiterleitungsziel wählen.,"- target_type voicemail aus extension.voicemail_box_id
- Dropdown in Forwarding-UI",P0,2,5,"frontend,forwarding,voicemail",Urgent,Backlog,E4 Voicemail
